ProDataCSV

Title: Sat Jun 22 19:31:15 2024

Remarks:
#User: SX User
#Date: 2024/06/22
#HV (Absorbance channel): 206.528
#Samples per point: 9600
#Sample period: 12.5 us
#Temperature: 19.87 C
#Cell type: Stopped Flow
#Pathlength: 10

Last Modified: Sat Jun 22 19:45:01 2024 by unknown.

Options:

Available Dimensions:,3
Time,1000 time points over 120s,linear,oversampled,external trigger,pressure hold off (pressure released immediately)
Repeat,3 repeats in set., -iter option selected
Wavelength,Wavelength: 305nm,,Bandwidth: 0nm

Available Properties: ,3
Absorbance,
HV,
Count,

Data:


Absorbance
Wavelength:,305
36.24,-0.00143384,-0.00118572,-0.0016209
36.36,-0.00123476,-0.00112009,-0.00168625
36.48,-0.00100838,-0.000986222,-0.00173379
36.6,-0.000898814,-0.00090274,-0.00174034
36.72,-0.000885794,-0.00099242,-0.00171054
36.84,-0.000883314,-0.0011662,-0.00162436
36.96,-0.000939111,-0.00131059,-0.00155085
37.08,-0.000936631,-0.00138357,-0.00150107
37.2,-0.000976717,-0.00145092,-0.00140277
37.32,-0.000996914,-0.00141418,-0.0013187
37.44,-0.000959877,-0.00135885,-0.00125841
37.56,-0.00099991,-0.001266,-0.00122821
37.68,-0.000977079,-0.0011362,-0.00128613
37.8,-0.000977441,-0.000991129,-0.00133346
37.92,-0.000947376,-0.000872516,-0.00137382
38.04,-0.000899485,-0.000807099,-0.00139704
38.16,-0.000868382,-0.000791182,-0.0014006
38.28,-0.000860993,-0.00083676,-0.0013974
38.4,-0.000814178,-0.000853501,-0.00143807
38.52,-0.00078555,-0.000876597,-0.00138357
38.64,-0.000859753,-0.000918549,-0.00139317
38.76,-0.000949494,-0.000890496,-0.00141082
38.88,-0.00100151,-0.000928933,-0.00142713
39,-0.000953885,-0.000953007,-0.00151216
39.12,-0.000909767,-0.000874479,-0.00161048
39.24,-0.000898142,-0.000857945,-0.00167212
39.36,-0.000872309,-0.000849109,-0.00158067
39.48,-0.000904084,-0.000835416,-0.00149142
39.6,-0.000881867,-0.000808752,-0.00137645
39.72,-0.000880524,-0.000821516,-0.00131668
39.84,-0.000935804,-0.000832419,-0.00132076
39.96,-0.00098586,-0.00101819,-0.00137243
40.08,-0.000982968,-0.00111777,-0.00141479
40.2,-0.00101768,-0.00113682,-0.00146743
40.32,-0.00104247,-0.00112711,-0.00144101
40.44,-0.00100544,-0.00103514,-0.00142599
40.56,-0.000920926,-0.00101902,-0.00141975
40.68,-0.000853346,-0.00104856,-0.00135865
40.8,-0.000836191,-0.00108611,-0.00125639
40.92,-0.000848334,-0.00114074,-0.00119222
41.04,-0.000898659,-0.00126527,-0.00113011
41.16,-0.000937716,-0.00133036,-0.00111802
41.28,-0.000971345,-0.00128019,-0.00113672
41.4,-0.000966128,-0.0012073,-0.001182
41.52,-0.000969434,-0.00105714,-0.00120043
41.64,-0.00105745,-0.00091018,-0.00125634
41.76,-0.00108936,-0.000812111,-0.00130197
41.88,-0.00106514,-0.000775627,-0.00140329
42,-0.000996914,-0.000772216,-0.00141629
42.12,-0.00085438,-0.00081671,-0.00140742
42.24,-0.000735109,-0.000787927,-0.00135116
42.36,-0.000739295,-0.000774077,-0.00129304
42.48,-0.000674375,-0.000785239,-0.0012995
42.6,-0.000682439,-0.000831437,-0.00130172
42.72,-0.000620251,-0.000811078,-0.00129377
42.84,-0.000578063,-0.000779245,-0.00129495
42.96,-0.000572686,-0.000805755,-0.00122981
43.08,-0.000661142,-0.000917929,-0.00118721
43.2,-0.000730922,-0.000996501,-0.00113806
43.32,-0.000732059,-0.00102605,-0.00107082
43.44,-0.000706578,-0.000983174,-0.00104991
43.56,-0.000764671,-0.000923819,-0.00107191
43.68,-0.000843839,-0.000916844,-0.00111203
43.8,-0.000815677,-0.000958689,-0.00123528
43.92,-0.000763017,-0.000945413,-0.00126372
44.04,-0.000684145,-0.000872102,-0.0012264
44.16,-0.000632606,-0.000779141,-0.00118107
44.28,-0.000624283,-0.00071123,-0.00117374
44.4,-0.000550556,-0.000676546,-0.00117947
44.52,-0.000467456,-0.00072105,-0.00118499
44.64,-0.000464198,-0.000778418,-0.00112438
44.76,-0.00055521,-0.000817227,-0.00100957
44.88,-0.000645065,-0.000823583,-0.000947634
45,-0.000744928,-0.000864714,-0.000944173
45.12,-0.000809166,-0.00095683,-0.00100058
45.24,-0.00081423,-0.00101675,-0.0010451
45.36,-0.000832781,-0.0010058,-0.00116238
45.48,-0.000817434,-0.000940144,-0.00126517
45.6,-0.000741104,-0.000863112,-0.00128938
45.72,-0.000595073,-0.000792629,-0.00130089
45.84,-0.000489021,-0.000714951,-0.00122976
45.96,-0.000402082,-0.000678407,-0.00114482
46.08,-0.000400996,-0.000604327,-0.00105295
46.2,-0.000475162,-0.00057615,-0.000925989
46.32,-0.000622939,-0.000600346,-0.000870449
46.44,-0.000673496,-0.000594556,-0.000877786
46.56,-0.000685075,-0.000582354,-0.000928313
46.68,-0.000657627,-0.000600502,-0.000967626
46.8,-0.000549419,-0.000660625,-0.000987927
46.92,-0.000500139,-0.000751492,-0.000985034
47.04,-0.000496364,-0.000819811,-0.000970364
47.16,-0.00048597,-0.000786325,-0.00102186
47.28,-0.000464663,-0.000779813,-0.0010747
47.4,-0.000450286,-0.000748184,-0.00100941
47.52,-0.000474748,-0.00076157,-0.000961117
47.64,-0.000460112,-0.000759038,-0.000963493
47.76,-0.000417237,-0.000734333,-0.000995313
47.88,-0.00040684,-0.000686833,-0.00109045
48,-0.000404565,-0.000700323,-0.00121602
48.12,-0.000398875,-0.000717019,-0.00128886
48.24,-0.000439477,-0.00074896,-0.00131896
48.36,-0.000433012,-0.000738778,-0.00129124
48.48,-0.000369805,-0.000627798,-0.00120559
48.6,-0.000398616,-0.000568446,-0.00109277
48.72,-0.000389668,-0.000612444,-0.000986274
48.84,-0.00033825,-0.000663313,-0.000890082
48.96,-0.000316056,-0.000696188,-0.000907235
49.08,-0.0003278,-0.000717277,-0.000932446
49.2,-0.000378702,-0.000672669,-0.000913176
49.32,-0.000432856,-0.000644186,-0.000898969
49.44,-0.000427633,-0.000619837,-0.000916534
49.56,-0.000483643,-0.00062816,-0.000849523
49.68,-0.000499364,-0.000670808,-0.000801518
49.8,-0.000538508,-0.000701926,-0.000775937
49.92,-0.000525012,-0.000770873,-0.000786841
50.04,-0.000454941,-0.000850969,-0.000851331
